Date,Meal,Food,Weekday
"Friday, April 19, 2019",Dinner,Mussles in White Wine and Tomato Sauce,
"Friday, April 19, 2019",Dinner,Spanish-Style Roasted Chicken,
"Friday, April 19, 2019",Dinner,Vegetable Paella,
"Friday, April 19, 2019",Dinner,Farro with Mushroom & Tomato,
"Friday, April 19, 2019",Dinner,Steamed Swiss Chard,
"Friday, April 19, 2019",Dinner,Steamed Zucchini Rings,
"Friday, April 19, 2019",Dinner,"Fruit, Bananas",
"Friday, April 19, 2019",Dinner,Black Eye Pea & Cilantro,
"Friday, April 19, 2019",Dinner,Black Bean and Corn Salsa,
"Friday, April 19, 2019",Dinner,Chicken Taco,
"Friday, April 19, 2019",Dinner,Mexican Rice,
"Friday, April 19, 2019",Dinner,Pico De Gallo Sauce,
"Friday, April 19, 2019",Dinner,Shredded Monterey Jack Cheese,
"Friday, April 19, 2019",Dinner,Spicy Black Beans,
"Friday, April 19, 2019",Dinner,Taco Baked Tofu,
"Friday, April 19, 2019",Dinner,Tostada Crown,
"Friday, April 19, 2019",Dinner,Western Style Guacamole,
"Friday, April 19, 2019",Dinner,Wheat Tortillas,
"Friday, April 19, 2019",Lunch,Chicken and Swiss Melt on Whole Wheat Panini,
"Friday, April 19, 2019",Lunch,Red's Best Fresh Catch,
"Friday, April 19, 2019",Lunch,Seitan Tostadas,
"Friday, April 19, 2019",Lunch,Saffron Brown Rice Pilaf,
"Friday, April 19, 2019",Lunch,Roasted Parsnips,
"Friday, April 19, 2019",Lunch,Steamed Vegetable Medley,
"Friday, April 19, 2019",Lunch,Lemon Wedges,
"Friday, April 19, 2019",Lunch,Tartar Sauce,
"Friday, April 19, 2019",Lunch,Boston Baked Beans,
"Friday, April 19, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Friday, April 19, 2019",Breakfast,Sliced Ham,
"Friday, April 19, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Friday, April 19, 2019",Breakfast,Cheddar Cheese,
"Friday, April 19, 2019",Breakfast,Cream of Farro,
"Friday, April 19, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Friday, April 19, 2019",Breakfast,Hummus,
"Friday, April 19, 2019",Breakfast,Cinnamon Roll,
"Friday, April 19, 2019",Breakfast,Blueberries,
"Friday, April 19, 2019",Breakfast,Malted Belgian Waffles,
"Friday, April 19, 2019",Breakfast,Multi-Grain Waffles,
"Friday, April 19, 2019",Breakfast,Pancake Syrup,
"Friday, April 19, 2019",Breakfast,Steel Cut Oatmeal,
"Friday, April 19, 2019",Breakfast,Strawberry Sauce,
"Friday, April 19, 2019",Breakfast,Vegan Belgian Waffles,
"Friday, April 19, 2019",Breakfast,Whipped Topping,
"Thursday, April 18, 2019",Dinner,Chicken Francais,
"Thursday, April 18, 2019",Dinner,St. Louis Style Ribs,
"Thursday, April 18, 2019",Dinner,Tofu Curry Noodle Stirfry,
"Thursday, April 18, 2019",Dinner,Roasted Red Bliss Potatoes,
"Thursday, April 18, 2019",Dinner,Roasted Eggplant,
"Thursday, April 18, 2019",Dinner,Saut�ed Escarole with Garlic,
"Thursday, April 18, 2019",Dinner,White Bean & Fennel,
"Thursday, April 18, 2019",Lunch,Grilled Chicken Breast with Lemon Butter Mushroom Sauce,
"Thursday, April 18, 2019",Lunch,Home Style Beef Lasagna,
"Thursday, April 18, 2019",Lunch,Grilled Cheese Sandwich with Avocado & Tomato,
"Thursday, April 18, 2019",Lunch,Sweet Roasted Potatoes,
"Thursday, April 18, 2019",Lunch,Roasted Butternut Squash,
"Thursday, April 18, 2019",Lunch,Sauteed Spinach with Garlic,
"Thursday, April 18, 2019",Lunch,Stewed Chickpea Catalan Style,
"Thursday, April 18, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Thursday, April 18, 2019",Breakfast,Sliced Ham,
"Thursday, April 18, 2019",Breakfast,Broccoli and Cheddar Quiche,
"Thursday, April 18, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Thursday, April 18, 2019",Breakfast,Cheddar Cheese,
"Thursday, April 18, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Thursday, April 18, 2019",Breakfast,Hummus,
"Thursday, April 18, 2019",Breakfast,Whole Wheat Banana Walnut Muffin,
"Thursday, April 18, 2019",Breakfast,Blueberries,
"Thursday, April 18, 2019",Breakfast,Malted Belgian Waffles,
"Thursday, April 18, 2019",Breakfast,Multi-Grain Waffles,
"Thursday, April 18, 2019",Breakfast,Pancake Syrup,
"Thursday, April 18, 2019",Breakfast,Steel Cut Oatmeal,
"Thursday, April 18, 2019",Breakfast,Strawberry Sauce,
"Thursday, April 18, 2019",Breakfast,Vegan Belgian Waffles,
"Thursday, April 18, 2019",Breakfast,Whipped Topping,
